orderId,execId,time,exchange,side,shares,symbol,price,permId,liquidation,cumQty,avgPrice
1054605251,0000e1a7.5eb00b21.01.01,20200504  12:21:28,GLOBEX,SLD,1,ES,2812.25,1286604708,0,1,2812.25
1054605256,0000e1a7.5eb00b23.01.01,20200504  12:21:37,GLOBEX,BOT,1,ES,2813,1286604709,0,1,2813
